dataset,n_edits,method,edit_success_mean,edit_success_std,preservation_mean,preservation_std,preserve_accuracy_mean,preserve_accuracy_std,logit_drift_mean,logit_drift_std,preservation_kl_mean,preservation_kl_std,relative_param_change_mean,relative_param_change_std,structural_cost_mean,structural_cost_std,runtime_s_mean,runtime_s_std
digits,5,FT,1.0,0.0,0.649844229221344,0.07570285318327513,0.6485981345176697,0.07825949187448536,13.541975021362305,3.761422899467244,2.7162745793660483,0.9872643672474638,0.4908917744954427,0.019827982276324454,49.80653508504232,2.506263207088296,0.04166954933331605,0.007911360034576785
digits,5,L2-SP,1.0,0.0,0.6834890842437744,0.08161041525817146,0.6834890842437744,0.08161041525817146,10.413722515106201,2.9062992969145784,2.338973601659139,0.9019340911111889,0.38107289870580036,0.014078480551955893,40.9969113667806,2.209073244496382,0.048953753000053744,0.005476358083653268
digits,5,MSR,1.0,0.0,0.9607476790746053,0.015299736383371128,0.9489096601804098,0.01675304542014285,1.0729337334632874,0.40646712870556495,0.08304962019125621,0.03776617418042466,0.1360775257150332,0.021772413701455298,10.564021428426107,1.0435659912682076,0.019151851666720177,0.004083312521556669
digits,10,EWC,1.0,0.0,0.5849056442578634,0.02740722593988202,0.5805031657218933,0.022030545109378866,12.307055155436197,0.951167734448591,2.7315922578175864,0.43749588326397376,0.48001185059547424,0.015473030975429737,45.444830576578774,1.441731596861957,0.07539975733334359,0.017487461279705473
digits,10,Euclidean-MSR,1.0,0.0,0.9018868009249369,0.0018868148327658466,0.8911949793497721,0.004357343380736726,2.164404312769572,0.05295814776242593,0.2217226674159368,0.006737378467307588,0.14069625238577524,0.008696760948180648,19.234535853068035,0.7671045198788271,0.04429137733344154,0.025268996655565933
digits,10,FT,1.0,0.0,0.550314466158549,0.038774997671609655,0.5471698045730591,0.03494386685338433,15.334357579549154,1.65230608804103,3.2071364720662436,0.4866683661969295,0.5436492760976156,0.011795203276651412,55.379756927490234,0.9208786698782941,0.04985697766657419,0.016852347140589658
digits,10,L2-SP,1.0,0.0,0.5830188592274984,0.02830186486244723,0.5786163409550985,0.02328743956781217,12.59588877360026,0.9067378816113876,2.819044589996338,0.43496105745575553,0.43927789727846783,0.011545129723460926,48.12734731038412,1.566413992770693,0.05812659833342574,0.026480517076539364
digits,10,MSR,1.0,0.0,0.906289299329122,0.015823585857634437,0.897484282652537,0.021868352758416806,2.0130827824274697,0.06651211513810452,0.18714267512162527,0.020865914145157805,0.19282139341036478,0.00833557823321468,15.315622011820475,1.492578199981024,0.04094719166657038,0.008943707661285742
wine,1,EWC,1.0,0.0,0.7547169923782349,0.07547169923782349,0.7358490626017252,0.08646371640796649,13.435030301411947,1.9761920700859255,1.0051878492037456,0.323087134106186,0.48270462950070697,0.11481458009109644,21.222963333129883,4.732512173984954,0.038770993666579066,0.0024914806673138074
wine,1,Euclidean-MSR,1.0,0.0,0.9433962305386862,0.03773584961891568,0.9182390173276266,0.05446699873575541,5.402086019515991,3.0225646858821578,0.10884175263345242,0.08716191285751711,0.21405487259229025,0.07327172157961612,14.378377596537272,5.124932687993355,0.004232976666571631,0.0011351671429211015
