edit_success,min_target_margin,preservation,preserve_accuracy,logit_drift,preservation_kl,relative_param_change,structural_cost,collateral_changes,dataset,seed,n_edits,method,beta,margin,iterations,runtime_s
1.0,5.385468482971191,0.6132075190544128,0.6000000238418579,12.055155754089355,2.8063807487487793,0.4742107689380646,44.749324798583984,205,digits,31,10,EWC,,0.75,22,0.06754015100023025
1.0,0.75,0.9037736058235168,0.8886792659759521,2.1804211139678955,0.2160065621137619,0.13795189559459686,19.240015029907227,51,digits,31,10,Euclidean-MSR,,0.75,10,0.035442977999991854
1.0,0.75,0.8981131911277771,0.8830188512802124,2.0438244342803955,0.19118145108222961,0.19256295263767242,14.457148551940918,54,digits,31,10,MSR,8.0,0.75,7,0.030632570999841846
1.0,9.729583740234375,0.6226415038108826,0.5849056839942932,21.123720169067383,2.0574817657470703,0.6328291893005371,28.95498275756836,20,wine,7,1,FT,,0.75,22,0.031553318000078434
1.0,7.875378608703613,0.6792452931404114,0.6415094137191772,14.896166801452637,1.3217828273773193,0.418108195066452,20.1540584564209,17,wine,7,1,L2-SP,,0.75,22,0.04278690399996776
1.0,7.946638584136963,0.6792452931404114,0.6415094137191772,14.920872688293457,1.3660646677017212,0.44942501187324524,20.138198852539062,17,wine,7,1,EWC,,0.75,22,0.04138878599997042
1.0,0.7540292739868164,0.9433962106704712,0.8867924809455872,5.456284046173096,0.13081590831279755,0.21370311081409454,14.116103172302246,3,wine,7,1,Euclidean-MSR,,0.75,3,0.004056548999869847
1.0,0.75,0.9811320900917053,0.9245283007621765,5.05800199508667,0.09918489307165146,0.29072698950767517,10.57296085357666,1,wine,7,1,MSR,8.0,0.75,5,0.006844755000201985
1.0,2.778719902038574,0.5306122303009033,0.4693877696990967,24.198322296142578,2.0034878253936768,0.6839842200279236,31.121288299560547,23,wine,7,5,FT,,0.75,22,0.03939771399973324
1.0,2.584521770477295,0.5714285969734192,0.5102040767669678,19.481098175048828,1.5465483665466309,0.5609468817710876,26.566360473632812,21,wine,7,5,L2-SP,,0.75,22,0.05215321600007883
1.0,2.65407657623291,0.5510203838348389,0.4897959232330322,19.756799697875977,1.5960098505020142,0.5892851948738098,25.694917678833008,22,wine,7,5,EWC,,0.75,22,0.04742573499970604
1.0,0.75,0.7551020383834839,0.6938775777816772,11.923799514770508,0.4027825593948364,0.4177727997303009,26.071901321411133,12,wine,7,5,Euclidean-MSR,,0.75,6,0.019782227000177954
1.0,0.7500001192092896,0.7755101919174194,0.7142857313156128,9.992149353027344,0.39892250299453735,0.4853839576244354,20.4317684173584,11,wine,7,5,MSR,8.0,0.75,10,0.027379740000014863
1.0,0.23988139629364014,0.5227272510528564,0.47727271914482117,18.075010299682617,1.277631163597107,0.7250546813011169,32.92170715332031,21,wine,7,10,FT,,0.75,24,0.05488822299957974
1.0,0.14775004982948303,0.5681818127632141,0.5227272510528564,15.224912643432617,0.9619736075401306,0.5982315540313721,27.730300903320312,19,wine,7,10,L2-SP,,0.75,23,0.07300732500016238
1.0,0.23762518167495728,0.5681818127632141,0.5227272510528564,15.71211051940918,1.0995795726776123,0.6194406151771545,25.746049880981445,19,wine,7,10,EWC,,0.75,24,0.06888035299971307
1.0,0.7499983310699463,0.5454545617103577,0.47727271914482117,17.23078155517578,0.7093946933746338,0.4979948401451111,31.570356369018555,20,wine,7,10,Euclidean-MSR,,0.75,10,0.13356055799977185
1.0,0.7498838901519775,0.6590909361839294,0.5909090638160706,13.621479988098145,0.6055594086647034,0.6026231050491333,24.58018684387207,15,wine,7,10,MSR,8.0,0.75,10,0.090982680000252
1.0,10.150288581848145,0.7358490824699402,0.7358490824699402,18.684003829956055,1.4437755346298218,0.5522839426994324,25.736583709716797,14,wine,19,1,FT,,0.75,22,0.028694822000034037
1.0,8.302236557006836,0.7547169923782349,0.7547169923782349,10.925848007202148,0.8175371289253235,0.34974709153175354,17.83938217163086,13,wine,19,1,L2-SP,,0.75,22,0.036741115000040736
1.0,8.809723854064941,0.7547169923782349,0.7547169923782349,11.192262649536133,0.9066715836524963,0.3882060647010803,17.127012252807617,13,wine,19,1,EWC,,0.75,22,0.03642872999989777
1.0,0.75,0.9811320900917053,0.9811320900917053,2.3527867794036865,0.012795569375157356,0.14095966517925262,9.389617919921875,1,wine,19,1,Euclidean-MSR,,0.75,5,0.005446027999823855
1.0,0.75,0.9811320900917053,0.9811320900917053,2.237809181213379,0.019531792029738426,0.19483281672000885,6.531874179840088,1,wine,19,1,MSR,8.0,0.75,5,0.007108756999969046
1.0,0.46113038063049316,0.44897958636283875,0.4285714328289032,25.429424285888672,1.309544563293457,0.7332286238670349,33.764915466308594,27,wine,19,5,FT,,0.75,23,0.08511070300028223
1.0,0.16275238990783691,0.6938775777816772,0.6734693646430969,21.643531799316406,0.8974277973175049,0.6272931098937988,30.432323455810547,15,wine,19,5,L2-SP,,0.75,23,0.06179121800005305
1.0,0.019616365432739258,0.7142857313156128,0.6938775777816772,21.7344970703125,1.0040676593780518,0.6515409350395203,28.9509220123291,14,wine,19,5,EWC,,0.75,22,0.052905227999872295
1.0,0.7499999403953552,0.5306122303009033,0.5306122303009033,21.659330368041992,0.8502965569496155,0.46650609374046326,34.62919235229492,23,wine,19,5,Euclidean-MSR,,0.75,10,0.03567561299996669
1.0,0.7500004768371582,0.4897959232330322,0.4693877696990967,19.42395782470703,0.8508644700050354,0.675509512424469,25.43704605102539,25,wine,19,5,MSR,8.0,0.75,6,0.016253969999979745
1.0,0.030305027961730957,0.04545454680919647,0.022727273404598236,37.544166564941406,2.8597326278686523,0.9354605674743652,43.78155517578125,42,wine,19,10,FT,,0.75,44,0.0853815619998386
1.0,0.03295332193374634,0.3863636255264282,0.3636363744735718,23.445344924926758,1.10930335521698,0.5141836404800415,31.316659927368164,27,wine,19,10,L2-SP,,0.75,69,0.22522111699981906
1.0,0.060523003339767456,0.5227272510528564,0.5,22.029958724975586,1.0946511030197144,0.642570436000824,21.836240768432617,21,wine,19,10,EWC,,0.75,62,0.1832186209999236
